-6,-5,-5,-10,-22,-11,-3,-3,-3,-4,-4,-15,-8,-1,2,-3
-3,2,-1,-12,-1,4,2,1,3,4,14,38,2,8,2,0
0,8,28,-53,1,3,-1,-1,2,-2,-4,-10,23,7,1,0
-6,-15,-31,16,-22,-13,-3,-4,0,0,0,-11,-25,-19,-1,1
6,9,5,-10,-49,-21,-5,1,-1,-4,-6,0,3,-6,-3,-5
-3,-3,4,-2,-5,3,-1,-1,-1,3,6,-24,-7,1,-1,1
0,1,3,-7,12,-3,-1,0,-1,3,7,23,12,3,-2,-3
0,1,3,-2,18,6,-2,-1,0,3,10,-7,4,-2,-2,1
-2,-1,-1,0,14,-9,-3,-1,0,-8,-32,-4,-2,-6,-3,2
-6,-3,-5,-52,50,7,2,-2,-4,0,-6,-19,-24,-13,-1,1
0,1,2,-3,12,-2,0,-3,-1,-2,0,25,6,1,1,2
3,2,12,19,-3,0,6,4,0,0,4,6,3,1,-3,-3
6,30,78,-11,-22,-20,-7,0,1,-2,-7,-13,2,-1,0,-1
0,0,-5,2,4,1,-2,1,-30,-128,-128,-59,0,25,-1,-11
-3,0,-11,0,0,-1,-4,-1,2,15,66,16,7,5,3,1
1,0,-12,9,4,7,0,-4,1,17,27,-10,-39,0,-3,-1
3,2,-9,-9,-47,-21,0,1,0,8,10,-3,-1,-5,-2,-4
-5,-9,-10,-92,47,-5,-2,-3,-2,-5,-19,-16,-2,-7,-1,-1
5,5,5,60,27,8,4,2,1,-1,-9,8,-4,4,5,0
1,1,1,3,2,1,-3,0,1,0,-5,2,-29,-3,-3,-1
-4,-2,-6,-4,11,1,1,0,-1,-1,-7,-3,-15,10,0,-1
-5,-7,-5,3,16,11,0,-3,-4,-1,-5,-8,6,1,-3,-4
-2,-4,-9,17,-3,-10,-3,-3,-3,-3,-2,0,-3,-1,-5,-2
1,1,6,27,48,5,-1,-1,-2,-1,1,-4,-1,-2,-2,0
3,4,6,3,7,7,0,3,2,0,2,-2,-5,1,0,-2
-2,-7,-9,-8,-11,-6,-1,-2,-3,-6,0,-7,0,-6,1,1
-2,-5,-31,-38,-3,7,1,1,-1,2,-2,-5,6,1,-2,-1
-1,2,8,52,9,4,-4,-4,-6,3,9,-9,1,-3,-6,0
-2,3,10,-9,-1,3,1,1,4,-1,-8,24,71,20,6,1
-4,-3,-7,-6,-15,-16,0,-3,0,2,10,17,21,-3,-1,-1
-3,-3,-12,60,15,5,1,-1,-1,-2,5,-4,8,-2,-2,1
5,5,20,55,42,18,2,2,-2,-1,-10,-10,-40,1,-2,3
0,0,3,-5,-15,-2,0,1,0,-1,-4,-9,-44,-25,-6,-7
-1,-1,1,-1,-5,10,-5,0,-2,-6,-28,-30,0,2,1,3
-1,0,2,6,-19,9,5,0,-1,1,-1,-8,1,0,-1,0
0,-2,-2,-33,-24,-25,-9,2,-1,1,0,-3,-2,-5,-4,-3
0,-3,6,54,20,10,4,2,-1,-1,4,-2,0,-7,0,-1
0,0,14,15,42,12,0,-1,2,0,3,13,35,9,1,-2
-1,6,26,-1,-9,3,2,2,0,-10,2,14,-15,0,-1,-1
0,-4,-19,-17,18,7,1,-1,-3,-4,-25,-49,17,-4,-1,0
-1,-3,-1,-9,8,1,-1,-1,2,-2,-3,23,0,0,0,1
-2,-8,-16,-19,-15,-6,-4,0,-3,1,0,-64,-25,-14,-3,-1
-4,-2,1,-6,-5,3,-1,0,2,4,3,68,31,18,1,2
-2,0,-1,-9,0,-1,-4,-2,2,0,5,-16,8,9,4,0
0,-1,0,11,6,7,-1,2,4,2,10,31,25,-2,0,1
0,0,2,2,25,7,1,2,0,-4,2,-3,1,-10,-4,-2
-4,-5,-10,-15,-18,6,0,-3,0,2,-9,-75,-117,-12,-3,0
-2,1,6,-6,-5,1,1,-3,3,6,18,127,38,22,9,2
-2,0,-3,-2,17,11,1,-1,1,1,0,8,24,-8,-1,-2
-3,-9,3,16,-3,6,1,-1,1,-2,-1,-4,-32,-5,1,2
1,-3,-14,-2,-18,3,2,2,-3,-3,-2,9,3,-1,-1,0
0,3,13,-1,-23,-2,-2,-3,4,13,26,-27,-33,-7,1,5
0,-2,-11,-8,41,4,-2,-1,-1,-5,-19,57,10,-4,0,-4
0,2,3,127,54,9,1,2,-2,3,8,0,27,8,-1,-1
2,1,-2,7,5,4,2,-1,-2,0,9,3,7,-4,-1,-1
-2,-1,-6,-42,-22,-14,-3,1,-1,3,-1,-6,20,4,3,1
-2,-4,1,8,0,-13,-3,0,-3,-5,-7,-128,-11,2,-3,2
3,2,4,-5,-6,1,1,-2,0,-2,-5,-16,-28,-4,0,-3
-3,-4,-5,8,3,-1,-1,3,3,3,1,3,-16,-6,-2,-1
-3,-6,1,-2,-1,2,-3,-4,-1,-5,-6,-21,1,5,-6,-3
1,1,-1,0,-26,10,-1,0,-3,-4,-2,3,9,7,0,-4
-4,2,6,0,-31,-4,-4,-4,-1,8,21,20,54,5,-2,-3
2,6,17,20,38,11,-1,2,1,-4,-42,-10,-36,-12,0,0
0,-2,-3,-15,-8,-5,-2,-1,2,0,2,-5,27,2,7,1
-1,0,0,-23,-3,-2,-4,-2,-1,-1,2,-31,-31,-17,-3,-4
1,1,-3,2,3,-2,-1,-3,1,5,23,-1,-10,-8,-4,-3
-3,-4,-7,-12,-14,-4,-2,-3,-5,-11,-29,-45,24,3,0,-3
-1,6,11,7,-23,-4,1,2,-2,1,8,42,13,-6,-5,-3
-1,0,-1,-6,-1,-11,-2,-3,2,4,4,-4,-7,-4,1,1
-3,-7,-12,-35,6,0,0,2,0,2,4,21,38,15,3,1
-3,-1,-1,16,4,0,0,-2,0,-2,-4,-10,11,-3,4,0
-3,0,-4,-16,-34,-12,-2,-6,-3,3,6,1,-19,-3,-6,-5
-1,1,6,9,35,14,4,0,-2,-3,1,-16,1,2,2,2
-1,2,1,-3,-27,-4,0,0,0,1,-1,-6,8,-13,-6,-1
-1,5,1,-1,-26,-5,-4,-2,-2,0,-5,8,25,2,1,-2
-5,-7,-2,45,1,-2,-3,0,3,-5,-4,-22,41,8,2,0
-4,-3,-21,-46,-3,-1,-1,-2,2,-1,-3,4,6,6,-2,-1
2,-9,-28,-2,-8,4,1,1,2,-4,10,2,-45,3,3,-1
-5,-12,-27,-6,0,-2,-2,-2,-2,3,6,1,3,-9,-7,-1
-7,0,11,7,33,39,3,-4,-4,0,-7,-12,8,-2,3,0
2,3,-5,-1,-26,-19,-4,-2,1,6,13,-1,-16,-5,1,1
4,-2,6,54,11,10,4,2,-4,-3,-7,-22,32,-1,-1,-4
-3,-1,-2,-12,13,5,0,1,-2,3,13,62,64,20,4,1
4,4,-5,-25,-10,-16,2,1,-3,-3,-4,42,-2,1,-3,-4
-1,-1,-5,15,5,1,-1,-2,-2,-1,6,-14,-22,-6,-2,-2
-2,2,2,0,-2,1,0,-1,-3,0,8,-10,22,-1,-1,-1
3,-1,-3,-3,-7,-2,0,-2,-2,-1,-4,-1,-2,1,-3,-1
-3,-3,-6,-1,-1,-4,0,2,-1,-2,0,36,6,-3,0,-2
0,0,8,-5,-62,-10,-2,4,-3,-1,2,-20,-4,-5,-5,-3
