127,43,-63,0,-11,-37,10,100,-128,32,21,-68,-24,7,-28,-120,handClose
127,0,60,106,127,-26,24,54,-30,-42,44,65,45,38,37,31,handClose
127,65,115,0,19,-37,-5,94,-128,127,127,63,-45,-65,-30,-94,handClose
-128,-68,13,48,-128,-128,-122,-95,-34,-23,-99,30,120,92,35,74,handClose
127,-66,3,35,127,127,116,46,127,15,127,16,-128,-128,-40,81,handClose
-30,127,-5,10,112,88,41,-29,119,127,127,62,26,26,33,43,handClose
127,-128,-128,3,-14,-48,8,94,-128,-128,-128,-50,-128,-101,-93,-42,handClose
-128,67,88,20,-58,-66,-40,-60,127,127,127,53,127,127,96,53,handClose
19,-60,-22,-22,-5,-15,-18,-38,110,-40,66,30,-33,-11,6,90,handClose
-128,10,55,15,-42,-90,-33,-73,23,39,49,-1,74,127,99,-13,handClose
36,56,127,49,17,53,10,-49,-90,-128,-16,85,-48,-128,-74,-105,handClose
127,-41,-128,-57,78,97,-1,16,-41,-8,-64,-103,-96,-128,-57,-17,handClose
-128,-128,70,17,-128,-128,-94,-110,-128,27,127,1,-49,-27,-53,-33,handClose
-128,45,91,46,-53,-61,-37,-128,-128,-103,42,-14,-53,-78,-77,-128,handClose
127,43,-51,-57,-66,-128,-65,91,37,117,-21,-13,-41,-16,-15,41,handClose
-74,86,-27,25,-15,116,56,20,127,-24,79,6,51,117,38,41,handClose
-128,81,127,49,115,127,47,-82,125,62,-68,-4,17,-1,11,79,handClose
-62,-128,-128,-42,-47,-23,-40,-128,-115,25,24,12,-12,-22,-13,-35,handClose
99,127,78,6,7,-1,-23,-70,-82,-12,6,-23,-22,-48,-9,0,handClose
-128,-128,-62,-46,-68,-85,7,70,-27,-6,13,12,-70,-103,-26,-31,handClose
95,32,-86,-16,-27,-90,-47,-59,47,-128,-32,-74,90,87,18,1,handClose
-13,-128,-128,-30,6,5,-6,6,127,42,21,-29,127,127,22,107,handClose
-10,13,-10,-21,-35,-44,-23,-12,-128,-15,-21,-61,-47,3,7,-23,handClose
-10,-40,126,47,-31,-52,-6,-1,-72,-29,115,59,-8,-30,-32,-91,handClose
-128,-74,-49,10,35,-3,-1,-56,65,-83,-128,-11,-6,-7,12,63,handClose
-89,56,66,13,33,-9,-9,-25,14,57,90,-10,-1,74,23,-11,handClose
