-10,-19,-39,-17,-128,-32,-20,-37,-1,-21,-32,-18,-128,-128,-75,-50,handClose
-50,-42,-71,-42,-128,72,-21,-101,3,-63,-15,-2,-75,-53,19,62,handClose
-23,3,7,-26,90,124,-121,-51,21,70,13,-10,1,6,-60,47,handClose
30,108,126,-6,-43,-128,45,10,4,44,5,-33,-84,-128,-10,41,handClose
-85,-128,-128,-27,26,55,1,-99,23,49,41,25,85,127,38,50,handClose
-80,-128,-128,17,127,127,-123,-128,7,-12,-23,-10,-20,-50,-128,-128,handClose
29,42,67,17,32,19,103,127,2,23,36,-5,-81,-128,60,99,handClose
14,46,36,30,127,127,70,17,52,99,54,37,5,-41,66,109,handClose
-6,-128,-52,-53,82,-14,-95,-79,-40,-67,-72,-27,25,127,36,-70,handClose
30,35,31,-6,-39,-31,111,127,-3,-117,-94,-14,-22,-100,86,109,handClose
-14,27,56,-31,-32,85,-33,-28,-29,-15,7,7,-22,-75,-128,-128,handClose
-26,-128,-128,5,70,127,29,-105,-4,21,-16,-22,13,49,57,60,handClose
-14,-59,-48,-12,-68,-70,10,-3,49,72,70,32,32,69,-23,92,handClose
6,38,-6,-12,-54,-128,50,60,-20,-38,0,-8,18,42,-69,-128,handClose
27,1,27,62,127,127,8,-12,-24,-23,-24,-21,2,11,-11,0,handClose
2,6,5,-14,-118,-113,10,7,-56,-71,-128,-4,-70,22,-59,-128,handClose
27,30,33,-9,32,85,35,91,-14,45,5,-1,19,8,-87,-78,handClose
1,3,2,-8,-67,-1,6,19,3,7,25,39,85,28,67,54,handClose
-13,35,7,-8,22,127,-4,-19,6,-8,-29,-36,-8,-23,7,40,handClose
-11,-40,-34,-11,-94,-113,-69,-34,48,72,107,48,76,-128,-4,-85,handClose
9,-14,6,-7,-55,-45,41,58,-82,-128,-105,-25,-74,38,-60,-87,handClose
-1,34,17,9,-65,49,-13,-23,16,33,34,3,39,9,32,79,handClose
-6,-61,-32,5,62,21,24,21,1,10,-21,2,62,-1,25,44,handClose
-6,-2,-19,-10,-42,-39,55,46,6,-71,3,16,-7,-108,10,66,handClose
-12,27,-33,-40,-75,67,-97,-75,-1,15,-48,10,4,127,-37,-128,handClose
8,-4,-1,-18,-13,-30,13,40,-20,15,13,19,24,-4,-3,-5,handClose
-20,-27,-25,-18,-79,-100,-21,-25,12,11,16,-5,-2,-9,11,35,handClose
15,56,15,-3,113,127,-29,19,15,6,26,10,15,-53,26,47,handClose
-38,3,-43,-47,-69,-23,-33,-103,4,17,1,-5,-10,-3,4,8,handClose
-45,-85,-51,5,-46,3,46,65,27,13,22,-9,8,51,112,127,handClose
15,38,34,-7,4,-21,25,60,-4,107,40,13,19,-93,-128,-128,handClose
7,1,1,-8,-10,-21,-9,11,-8,24,29,-18,-10,12,29,22,handClose
14,19,15,2,-24,-29,6,2,-17,-68,-51,28,127,127,-77,-82,handClose
-18,-65,-50,-5,-4,-128,-89,-123,21,-4,-13,16,-1,-2,28,27,handClose
3,-35,-47,-17,-77,37,45,22,-1,13,26,-18,-26,-8,9,38,handClose
1,27,11,5,25,-5,20,26,15,7,-8,-12,-19,1,57,86,handClose
