2,-7,59,15,12,24,5,1,2,2,-20,-10,3,-2,-4,5,handClose
-22,-15,-43,-2,-32,-16,-11,-31,-21,-7,21,10,3,-4,-2,-9,handClose
18,-3,-37,-14,8,3,19,68,-6,-17,-8,7,-2,3,1,-7,handClose
15,-9,24,-9,-11,15,-9,40,6,7,-24,2,-2,1,-6,-1,handClose
26,21,-14,1,33,24,15,-11,3,0,51,20,14,25,16,10,handClose
4,3,11,1,-3,0,-3,-14,-7,0,2,-6,10,-3,-3,-6,handClose
9,-17,-23,1,0,-5,7,76,-11,7,-6,-3,-21,-13,-8,-3,handClose
5,7,-41,-16,-20,-17,-14,-24,41,8,33,23,24,-11,3,-1,handClose
-10,3,-9,-18,-7,-12,18,0,-23,6,-29,19,2,6,4,13,handClose
6,-2,0,-9,-2,-5,7,10,9,6,-15,-8,-5,-6,0,2,handClose
5,-3,-13,-2,0,-3,0,-8,14,-5,47,8,17,22,11,7,handClose
2,11,19,-1,7,0,-3,1,6,1,-28,10,-21,-30,-29,-6,handClose
-9,-24,3,7,8,-2,-1,-24,16,11,-8,-9,1,-35,-13,-11,handClose
0,6,-6,6,-17,-9,0,5,11,1,25,28,9,12,10,7,handClose
14,-6,40,4,11,16,7,8,8,6,6,-21,0,-11,3,4,handClose
3,-2,-6,-5,6,-1,2,3,-60,-2,16,27,2,8,-7,39,handClose
42,12,-8,-6,-7,-5,1,-5,17,-8,8,-33,-19,-4,-15,10,handClose
19,0,-3,-7,10,25,4,10,25,13,-37,12,12,-30,-15,19,handClose
8,-8,-11,-13,-21,-5,3,-8,1,14,-2,-8,-15,-13,-13,-52,handClose
1,8,-5,8,-9,-13,-3,-6,-4,5,-4,-2,-11,1,9,18,handClose
-10,-13,50,11,14,20,-2,-17,-7,-9,-33,4,-9,-26,-10,-2,handClose
13,11,-24,-12,-36,-32,-15,1,-42,-18,26,-40,10,7,-9,-10,handClose
15,19,-14,-1,14,8,13,30,-49,-14,-15,7,8,26,13,-45,handClose
-21,-12,33,-1,-14,12,2,-50,22,-6,-24,-5,-14,-13,-40,-29,handClose
-79,-42,-15,-13,1,-41,10,6,-9,-13,48,-14,34,56,28,-5,handClose
24,-8,1,13,10,35,-5,53,-38,-21,-33,-8,-44,-21,-47,-51,handClose
8,3,9,-19,12,6,12,-1,-9,14,3,-13,-1,-41,11,-2,handClose
-23,3,-15,-7,-24,-40,-21,-16,-30,-35,11,-7,8,-5,-14,-48,handClose
-22,9,-10,3,-8,17,1,18,3,-4,-35,2,-6,1,4,8,handClose
10,-7,48,-16,92,-44,-19,21,16,23,-14,-6,-3,-5,18,13,handClose
-9,11,-45,6,-8,0,-8,-45,-10,-28,15,-18,-49,23,2,-21,handClose
-15,-5,12,6,0,55,22,-14,-10,-26,-59,3,-13,55,-12,-6,handClose
-42,7,35,11,23,4,5,-20,11,4,10,6,5,-16,12,9,handClose
27,14,-15,-3,-6,-13,-10,1,44,5,11,-10,1,6,17,43,handClose
13,-8,23,4,11,17,8,29,-85,-13,-16,8,-21,-3,-9,-83,handClose
17,0,0,1,3,-6,0,22,-23,-4,44,-36,5,42,25,-34,handClose
-13,10,10,20,-3,-3,-2,-40,-13,-56,-12,7,-49,-20,-52,6,handClose
-9,-10,13,-13,2,12,6,-11,7,19,2,-15,-8,-2,8,15,handClose
7,4,-22,-6,-15,-16,10,9,-3,9,-19,1,-9,9,-20,-44,handClose
20,11,-10,-3,14,-21,24,6,3,-6,-20,-4,18,-23,-10,16,handClose
-14,-14,65,12,-5,13,-1,-33,-30,3,-14,4,-9,-8,-6,2,handClose
-28,-4,-27,-4,3,65,-10,-47,16,3,36,-1,11,27,11,5,handClose
-7,-34,-39,-8,20,-13,-5,13,13,-2,-10,-7,-6,-8,1,8,handClose
13,28,13,-9,-21,-35,-27,-4,-1,4,-24,-37,6,-29,9,5,handClose
-28,-11,44,9,-25,11,4,-22,20,15,-18,51,-19,50,16,8,handClose
-17,7,-34,7,-5,-18,-2,-15,6,-16,-38,-30,-17,7,42,20,handClose
25,3,9,-9,2,5,-4,-14,2,-4,-16,-47,24,21,2,-28,handClose
9,-3,8,13,-8,32,19,-5,66,17,11,7,16,47,62,65,handClose
14,9,-9,31,-5,-36,6,28,-24,-12,-17,-9,-22,-6,18,33,handClose
29,5,24,0,-1,39,38,14,4,10,18,-24,13,-41,-41,-39,handClose
-37,-7,-5,3,-1,0,-5,-45,4,1,-6,-21,-45,34,53,27,handClose
-17,2,-24,7,-1,-8,-32,-3,-12,-26,11,7,15,-27,-66,-32,handClose
10,-3,6,-5,-1,10,6,20,2,18,-3,-8,29,-13,39,13,handClose
31,9,-13,0,6,20,8,13,-25,-4,31,11,19,15,12,-21,handClose
-15,-3,-40,-4,-11,0,-18,-49,20,-5,-66,-48,-36,15,18,13,handClose
-19,17,70,34,-2,7,70,-65,-14,3,-16,13,-18,-38,-23,0,handClose
-37,-85,-22,-27,-35,80,-110,-113,-17,-16,37,-2,18,43,13,-20,handClose
4,21,-31,-9,-18,11,-5,32,16,29,7,-22,-23,-72,-38,50,handClose
35,-1,19,4,5,9,5,35,22,15,-23,-44,13,27,50,45,handClose
2,-25,20,3,10,-39,-9,-26,20,12,-6,13,21,13,4,1,handClose
28,17,-37,18,-16,-6,11,40,-34,-10,-34,-64,-24,-41,6,-30,handClose
10,4,15,-18,4,-54,-50,-98,-58,-11,31,7,16,37,5,-46,handClose
13,21,-1,32,5,-53,-23,-6,-5,-5,20,22,-3,-16,-47,-24,handClose
14,9,-37,5,-23,29,13,68,33,12,-18,-22,-15,-41,1,46,handClose
33,-6,30,-9,36,33,50,26,-69,-5,2,5,14,44,16,-19,handClose
7,-4,-16,1,45,-26,-29,-89,-106,-21,-7,7,-25,19,-21,-118,handClose
16,25,12,-21,1,-14,1,30,25,6,-23,-3,-10,-22,27,85,handClose
15,1,7,4,-20,29,61,28,-51,-21,56,19,56,49,-21,-38,handClose
-19,-7,-35,40,28,-60,-33,127,23,-6,-23,-26,-31,-25,18,76,handClose
-9,-16,42,-9,-15,0,23,-5,14,29,30,-64,-57,11,-115,-128,handClose
41,5,-13,-30,37,17,12,30,-7,-96,-19,67,31,108,-11,127,handClose
-74,-4,-35,10,-72,17,6,-75,2,18,-17,-14,-30,28,45,32,handClose
60,7,6,79,26,-15,-28,7,-13,30,-8,89,28,47,28,5,handClose
-11,-39,32,0,-84,-37,-78,-80,-17,-21,-19,20,1,9,30,-10,handClose
1,-6,-39,-38,-12,1,-25,2,3,6,-31,-27,-20,-33,-20,14,handClose
-3,15,47,48,34,54,46,10,15,3,-4,-6,-2,-7,3,55,handClose
12,12,-11,-15,-8,-39,19,37,7,-13,52,11,15,11,-7,-2,handClose
-9,9,-2,-53,-13,-94,-48,64,-24,-30,-12,21,-5,18,32,3,handClose
-7,-7,39,41,23,13,1,-55,-69,12,-7,20,-25,4,-30,-97,handClose
15,11,11,-25,-24,-19,-5,7,26,-40,-27,-29,15,-2,0,-23,handClose
1,-19,-29,-3,-25,-36,31,-9,-9,16,-41,10,6,30,35,55,handClose
10,-27,-27,13,-20,-14,13,-9,-41,-10,40,4,2,15,-1,-26,handClose
28,20,-24,10,-6,-1,11,-3,-4,-5,34,71,25,-18,24,-16,handClose
-23,6,9,-16,-9,-3,-20,13,-15,-16,-67,-63,-67,29,-28,-30,handClose
7,-2,16,-9,12,34,38,39,-28,6,44,27,31,-17,7,-89,handClose
-1,3,-1,14,-17,-80,-38,-27,-106,-16,-28,9,-2,29,-1,-81,handClose
6,12,3,-44,6,12,13,25,12,12,-32,-5,2,51,-23,-20,handClose
2,-1,2,13,1,12,7,-54,3,-7,48,32,-21,-14,-27,-26,handClose
19,28,-38,-6,10,1,6,43,9,-6,4,23,7,-10,46,78,handClose
17,-8,56,-3,17,27,11,-70,-19,-35,-22,-54,-10,-23,-47,-50,handClose
13,-3,23,1,-9,23,18,25,18,-1,31,47,12,43,-23,29,handClose
11,-14,-55,-7,-8,-52,-19,20,-8,-2,32,-35,-71,-39,-16,0,handClose
-80,-8,42,-7,19,-23,-21,-104,11,17,-78,37,10,12,15,44,handClose
6,-19,-37,-23,-5,43,-12,29,17,4,9,-4,-11,11,30,36,handClose
-2,-9,-22,20,-2,-17,6,67,28,11,-52,-45,-8,25,2,25,handClose
39,13,51,19,20,39,33,22,22,-5,-40,-23,-7,-55,-10,114,handClose
-29,7,16,-4,2,-11,-10,1,47,16,46,38,24,12,6,-50,handClose
15,26,-1,25,57,-16,14,11,-6,6,5,-7,0,9,-3,-90,handClose
12,-15,-2,-17,-35,40,45,-26,-29,-61,-28,1,-32,10,-22,37,handClose
-31,3,9,15,20,8,30,20,42,14,-2,14,33,25,45,41,handClose
20,-13,36,-22,-36,-62,-56,-25,-67,8,15,6,-31,-42,-35,-14,handClose
5,15,-7,-37,12,10,-10,27,21,-7,-4,5,-1,32,29,9,handClose
3,12,14,41,-15,-73,-33,-74,37,11,-52,44,26,-3,6,61,handClose
1,5,5,-2,2,3,13,31,-26,19,54,-26,-11,-4,2,-52,handClose
-12,-5,48,17,31,48,13,-14,-18,-74,-23,56,3,27,15,-24,handClose
-75,-11,-11,-31,-8,-64,-39,-42,31,15,-46,40,-10,-17,34,41,handClose
27,15,26,-33,6,33,36,40,13,12,9,-9,-10,-5,-54,-36,handClose
34,15,21,29,-1,3,62,10,-51,-37,-36,-25,0,26,-4,4,handClose
4,-74,-67,-24,-7,-19,-37,-28,31,-3,15,13,-3,-10,-1,-47,handClose
39,1,56,52,14,34,50,0,23,35,1,-50,17,-21,34,34,handClose
-18,-14,-46,-27,-24,58,25,59,35,15,12,17,38,14,36,78,handClose
32,18,48,-22,31,-114,-104,-58,10,0,-36,-119,-62,-15,-26,-73,handClose
20,-1,31,-19,-12,11,8,8,-78,-3,-9,39,-3,-23,-23,-11,handClose
23,9,-4,6,-11,1,17,30,-1,-2,-3,-5,-4,13,43,1,handClose
32,19,-10,-15,-8,-7,-16,-3,-16,18,1,5,2,10,-11,-54,handClose
10,1,44,6,21,15,18,-32,13,-2,-39,20,-6,-2,-25,22,handClose
-67,-17,-47,-30,-19,0,-1,67,-1,0,11,-31,3,-20,-10,-2,handClose
-19,-12,25,-15,-24,13,-57,-56,35,26,25,4,-11,34,-3,-19,handClose
-19,-83,-63,22,115,-24,-60,-6,-29,-3,59,52,-3,-43,-51,25,handClose
