-3,44,33,4,-4,-7,1,6,-1,7,10,19,126,45,14,-61,handClose
-31,-64,-70,-6,-2,25,19,38,119,83,38,22,11,31,-17,75,handClose
13,-19,-28,5,83,-54,5,-4,-2,-49,-58,-26,-47,-24,-3,-77,handClose
-10,-34,-13,-6,-16,-11,13,-1,-18,-52,-60,-23,-41,19,-6,9,handClose
-6,-5,-2,2,4,-72,-4,10,24,33,40,8,64,39,15,39,handClose
11,2,10,2,-46,8,-24,-12,-29,13,-45,-23,-70,-67,-31,29,handClose
78,6,99,12,29,-14,35,38,-41,29,4,17,51,-10,-12,-27,handClose
-9,2,4,3,-15,-24,3,11,5,27,46,3,-12,22,37,-6,handClose
31,20,21,0,-15,4,12,5,-20,-25,-23,-15,-50,-51,-50,-2,handClose
35,24,5,3,-16,-2,7,9,-7,-4,-20,10,2,1,10,11,handClose
-17,-86,-117,-19,-24,41,-37,-21,-16,-5,-15,-6,-9,0,-4,-20,handClose
34,-13,3,12,7,-32,-4,24,2,-13,4,0,-13,-10,16,-36,handClose
24,-21,-8,-3,2,4,12,35,-74,11,8,-7,3,30,2,9,handClose
29,25,46,-2,12,7,9,10,66,6,26,34,31,35,13,-43,handClose
-32,-13,-22,-10,-51,-80,9,58,-31,15,0,-3,20,-3,16,-20,handClose
36,-41,-46,-12,-31,12,8,10,-9,-59,-48,-5,-14,-8,10,13,handClose
-3,3,23,1,8,-1,4,-63,12,25,26,-9,-21,12,12,54,handClose
66,-31,20,26,78,32,34,83,-54,-46,-82,-28,-77,-48,-34,-15,handClose
-61,104,32,-22,-71,-1,-46,-123,23,43,16,14,40,23,12,-17,handClose
-32,9,8,-12,-33,-20,9,-58,48,-14,6,17,29,-46,-14,1,handClose
-32,10,-9,-5,-10,-31,5,17,2,7,10,-14,-6,-3,-6,-36,handClose
7,8,31,-10,-57,-125,-46,46,-4,4,5,6,0,54,3,21,handClose
-26,-85,-105,2,39,14,-5,-18,-12,7,9,20,32,-1,-3,-25,handClose
-39,2,7,10,-13,-100,-42,-107,0,0,8,-16,-57,-3,2,-1,handClose
-2,15,12,0,2,7,-7,-23,-8,4,-25,-15,-42,23,30,38,handClose
2,-17,-23,9,32,21,-18,-45,-80,-64,-85,-21,-24,-50,-24,-46,handClose
15,5,39,6,-28,-59,-18,71,37,-27,-7,5,-16,11,11,4,handClose
