-4,0,-1,0,2,13,0,-1,-5,-3,-5,5,3,5,2,-2,handRelax
4,1,3,1,3,-1,-1,1,1,0,1,2,-5,6,0,1,handRelax
0,0,-1,1,-5,-7,1,-1,-2,-1,-2,1,-5,-4,-2,-1,handRelax
-3,-3,-5,-2,-10,6,1,-3,1,-3,-1,0,11,1,-1,0,handRelax
2,0,-1,-1,-8,5,-4,-3,0,0,2,-17,-33,12,2,-2,handRelax
-2,-4,-3,-1,-10,-7,-4,-3,-1,2,1,10,-3,1,1,0,handRelax
-4,-6,-10,8,3,1,1,-2,4,5,3,5,35,-3,-3,2,handRelax
-2,-4,-2,-14,-15,2,-1,-1,-2,-3,-8,0,7,17,-2,0,handRelax
1,0,3,3,-1,-14,-1,-1,-2,-3,-2,1,-8,-1,-2,-3,handRelax
3,0,-5,-20,-15,3,-4,0,1,2,2,13,20,-11,0,0,handRelax
-3,-4,2,5,10,-11,-6,-1,-3,1,0,-4,-1,13,-1,-2,handRelax
-2,-3,0,-11,-20,2,-11,-4,1,3,0,1,-10,-18,-1,-1,handRelax
0,1,2,4,11,9,4,-1,1,3,2,16,12,-3,-2,-2,handRelax
-4,-1,-6,-9,-17,-28,-7,-5,-3,-4,-7,-14,-5,11,5,2,handRelax
1,4,1,-9,-12,15,3,0,-1,-1,2,5,15,-5,-3,-3,handRelax
-2,0,1,-5,14,15,3,-1,-2,0,-5,-17,-9,23,3,-2,handRelax
-3,-2,-5,27,1,-12,-5,-6,1,5,0,-6,-9,-20,-2,2,handRelax
1,0,-2,10,22,20,-23,-5,0,2,3,5,23,-1,-2,-1,handRelax
-3,-7,-7,-24,-29,-2,49,9,4,1,3,12,21,-7,1,1,handRelax
-1,-3,1,-1,13,-17,13,0,1,-1,2,7,-15,-3,-12,-6,handRelax
-5,-2,-4,-7,-18,6,-8,-3,1,5,3,-2,-2,-22,-12,0,handRelax
3,7,10,25,17,-11,-8,-2,1,-5,-6,-12,16,5,4,0,handRelax
-1,-2,-4,-4,-2,-10,4,5,-4,-5,-5,2,-43,-6,-3,1,handRelax
2,3,-2,-2,3,19,4,1,0,-3,-3,1,0,-19,-4,-2,handRelax
-2,-1,-5,-12,-19,-12,-3,-2,1,2,4,9,13,31,6,5,handRelax
0,2,2,21,19,-12,-4,-2,-4,-2,-5,-48,-37,-15,-1,-3,handRelax
-3,-2,-5,-1,-14,-7,0,-3,-1,1,-2,7,3,-20,4,2,handRelax
0,-5,-3,-5,-14,-14,-1,-1,-1,-2,-5,10,15,12,-1,-2,handRelax
1,-2,-5,-68,-34,-6,-1,-1,-2,-6,-12,-28,-13,-7,-2,-5,handRelax
-6,-4,-1,47,15,-11,0,-3,3,5,6,22,22,-9,0,0,handRelax
-5,-2,-10,-72,-71,-42,-5,-2,1,5,3,-33,23,18,0,2,handRelax
0,1,7,-13,-24,19,1,1,4,1,1,8,40,-11,-1,-1,handRelax
-2,-1,0,15,20,12,0,3,0,-1,2,14,-14,-13,-1,-3,handRelax
4,3,-5,-22,54,-37,6,3,-3,-6,-8,-34,-16,27,2,2,handRelax
-6,1,-5,1,-44,28,-3,-3,-1,-1,2,1,1,-9,0,1,handRelax
0,0,10,5,1,5,1,-1,0,3,-3,3,-5,4,-3,2,handRelax
-3,-3,2,4,17,-37,-10,-6,-3,-6,-14,-68,-11,70,2,-2,handRelax
-6,-10,-19,25,45,34,5,-1,-5,-5,-11,3,-7,-41,-5,-4,handRelax
2,0,4,13,19,25,2,2,-1,3,-7,-10,-9,-17,-6,-3,handRelax
-4,-1,-1,27,7,-25,-2,1,-3,-7,-7,17,-19,-8,-7,-3,handRelax
-2,-5,6,-97,-46,33,-3,-1,1,0,-3,-11,-8,-22,-2,0,handRelax
1,-4,-1,5,29,7,2,-1,2,17,1,5,-4,11,2,2,handRelax
1,0,0,-21,-45,-62,-18,-10,-5,-11,-4,2,19,11,0,-1,handRelax
5,6,9,17,-97,-108,-19,0,4,1,9,37,15,1,6,5,handRelax
-6,-11,-22,-47,-10,-22,-1,-5,-10,-15,-15,-39,-16,15,-5,-8,handRelax
2,12,1,-6,-15,1,-3,0,-2,-5,-1,7,8,12,6,-2,handRelax
-6,-32,-26,-7,10,3,-8,-3,1,2,8,15,17,-2,1,1,handRelax
-4,-6,10,9,-17,-10,0,-5,0,2,-12,-3,1,-35,-17,-6,handRelax
4,9,15,20,11,12,10,1,1,-7,-25,-32,6,-2,3,0,handRelax
-2,2,-10,-30,2,15,-6,1,5,19,7,43,9,-30,0,-1,handRelax
-2,-5,6,4,-6,-10,0,-1,-1,-16,6,10,-23,38,2,1,handRelax
-1,-1,-8,12,2,15,4,0,0,-4,-14,10,24,47,3,-2,handRelax
1,5,11,14,8,15,-1,-1,-4,-2,4,0,-56,-76,-14,-4,handRelax
0,-8,-36,-19,-5,-27,-1,2,6,-3,8,24,7,18,3,4,handRelax
-1,4,9,3,15,36,-3,-7,-10,0,32,-10,9,18,-11,-9,handRelax
-3,-3,-8,-12,-1,6,2,-3,-2,-35,-20,-4,28,45,2,2,handRelax
6,15,12,6,8,-23,7,6,1,1,4,-4,17,-5,7,2,handRelax
-10,2,8,-23,-6,15,-2,-1,-6,1,9,10,-56,-51,-15,-7,handRelax
-4,-15,-17,1,2,-2,3,-1,7,16,12,16,13,-3,3,-1,handRelax
2,8,-3,2,1,-4,-7,1,127,127,127,127,127,-21,127,127,handRelax
-5,-18,-12,-14,-6,30,-2,-2,-29,-46,-52,-41,-41,109,-31,-27,handRelax
-8,-2,-5,-11,-9,35,-4,-1,-15,-11,-9,15,4,127,-8,-9,handRelax
0,8,11,35,35,101,8,4,-2,6,3,6,10,90,2,1,handRelax
4,5,6,-11,-33,-58,-10,2,-8,-11,16,6,29,75,0,-4,handRelax
6,2,-4,1,-5,-42,0,5,0,2,4,16,-2,-32,-5,1,handRelax
5,34,23,11,11,18,-5,-2,2,5,-22,-11,22,-53,-4,-6,handRelax
4,-38,-1,17,-1,-15,5,7,-3,-15,18,-12,-13,-27,1,-4,handRelax
1,10,-2,-13,-13,-38,0,-1,-4,-2,0,-2,1,8,2,-4,handRelax
-1,-7,0,-4,5,-8,0,-4,0,19,11,6,13,-28,0,-3,handRelax
-2,9,19,77,7,5,0,-2,1,-27,-10,-23,12,-24,-1,3,handRelax
-4,-16,-17,-1,-3,-25,-3,-5,9,18,17,0,16,36,11,8,handRelax
0,5,5,5,0,24,-1,-1,-5,-9,-44,-26,-7,-28,-5,-3,handRelax
-4,-8,17,-14,-1,11,-3,-1,2,-3,17,3,4,2,-2,0,handRelax
3,4,11,0,-4,-30,0,1,-1,-1,-27,9,14,28,-1,-1,handRelax
