-17,-17,-14,-24,-35,-50,-41,-15,handClose
-35,5,-23,33,13,-30,-67,-28,handClose
74,42,78,43,16,127,127,65,handClose
-106,-78,-128,-119,-68,-128,-121,-128,handClose
127,66,68,44,87,127,127,127,handClose
8,15,42,23,-15,-47,18,-40,handClose
-15,5,-5,-32,-20,-38,-7,-18,handClose
-23,-26,-60,-49,-12,-70,-82,9,handClose
61,30,73,45,-24,-128,62,127,handClose
-10,-1,-4,-33,3,127,19,-43,handClose
-69,-35,-27,-52,-24,-124,-101,-97,handClose
127,48,52,50,54,-91,127,127,handClose
-2,-7,8,-22,-10,90,-78,22,handClose
-4,-1,16,12,21,-26,-44,-12,handClose
-1,-14,-21,11,-8,-22,0,-5,handClose
-19,1,6,-14,-15,-99,-73,-66,handClose
-22,12,87,-27,-32,48,62,-128,handClose
120,24,54,-11,37,127,127,127,handClose
-51,-11,-60,33,-32,-111,-56,-128,handClose
-7,9,35,3,-3,-52,23,1,handClose
-14,6,-3,19,26,-84,14,-19,handClose
-28,-12,0,-12,-12,-68,-83,34,handClose
66,-2,25,18,52,127,108,127,handClose
-77,3,31,-2,-31,-128,-64,-128,handClose
127,18,-6,39,83,127,127,127,handClose
-26,7,-19,-11,9,-98,-9,-46,handClose
-88,-23,8,-4,-17,-25,-90,-128,handClose
127,47,36,33,8,-128,76,127,handClose
-39,9,5,-16,-5,-128,-69,-128,handClose
-33,-20,-27,12,24,-52,-53,-71,handClose
35,26,48,-34,-14,127,47,38,handClose
-14,1,85,41,10,-19,7,3,handClose
-43,-19,-10,-24,-81,-63,-22,-44,handClose
66,33,51,65,27,127,23,125,handClose
22,21,1,-24,-18,-128,20,-26,handClose
-14,-5,-37,-28,-19,-4,-13,-20,handClose
2,-32,-97,30,-3,51,12,-16,handClose
-3,15,6,-20,12,19,5,23,handClose
-76,-20,-17,-31,-35,-80,-59,-128,handClose
127,23,-9,-27,-35,33,42,127,handClose
-6,-12,14,10,33,127,94,-128,handClose
-33,-2,6,-10,2,-76,-50,-75,handClose
-31,-13,10,22,-3,-100,-65,-122,handClose
108,43,1,-22,26,2,127,127,handClose
-24,-22,-61,-20,1,-19,-18,-29,handClose
-45,-11,-2,8,-38,-128,-102,-94,handClose
117,28,71,-13,-2,127,120,127,handClose
-23,-8,-51,11,-25,-78,-69,-100,handClose
-100,-27,13,-32,-21,-128,-121,-128,handClose
127,38,-38,38,37,125,127,127,handClose
-35,-12,-11,-6,-7,-25,-18,-67,handClose
-29,-11,21,-4,-44,8,13,-57,handClose
-59,-23,-46,-37,-71,-128,-128,9,handClose
-35,2,-34,8,17,-99,-51,-82,handClose
-68,-11,-5,-75,-56,-128,-115,-128,handClose
11,11,61,67,-18,127,-28,70,handClose
36,16,-4,-10,24,127,127,14,handClose
-68,6,78,23,-15,-82,-77,-128,handClose
127,26,-22,-8,9,127,127,127,handClose
-23,-16,0,28,26,-109,-52,-54,handClose
-60,-30,13,-18,-20,-128,-58,-128,handClose
59,21,4,3,-58,127,21,127,handClose
-27,1,7,-34,-15,-43,19,-12,handClose
-35,-52,-58,61,2,-128,-128,-103,handClose
28,15,-7,-21,-24,-128,49,-27,handClose
-60,-15,9,-18,-29,-79,-58,-96,handClose
-67,-28,-15,-33,-25,-47,-128,61,handClose
55,-19,-63,20,30,127,108,21,handClose
-31,-6,10,-26,-8,-42,-44,-71,handClose
-19,-10,22,-11,11,99,-53,-38,handClose
-11,-1,-10,-8,2,32,-7,10,handClose
-3,0,25,7,-1,45,-2,16,handClose
-11,-30,-124,-89,-8,-5,-2,-18,handClose
28,9,7,11,-9,-3,-32,65,handClose
14,8,19,-9,-46,-22,-40,-3,handClose
-38,2,-42,-19,-24,-128,-105,-55,handClose
-32,15,-19,-8,-7,-128,-17,1,handClose
-67,-4,-27,-32,-9,-73,-48,-128,handClose
93,8,-38,-12,-17,-11,54,127,handClose
-52,-13,-13,9,11,73,-44,-128,handClose
93,-5,91,38,26,127,127,127,handClose
-28,22,46,-2,8,-43,-1,-31,handClose
-40,-71,-128,-90,-23,-128,-83,-16,handClose
-2,-2,-53,29,33,86,65,10,handClose
55,11,38,-19,-90,-128,5,118,handClose
-49,0,-33,-54,-19,-115,-91,-128,handClose
-28,7,-11,-11,20,127,-46,4,handClose
105,-21,-116,16,21,86,68,127,handClose
-34,4,24,24,-7,89,-15,-73,handClose
-119,-29,-11,-11,-19,-48,-128,-128,handClose
127,44,16,48,63,127,127,127,handClose
-25,4,8,8,18,5,-2,-65,handClose
-48,-9,5,-23,-30,-102,-85,-88,handClose
-12,-6,2,-2,-26,-128,-61,-46,handClose
-16,-15,-10,-15,-1,-6,-30,21,handClose
12,6,-6,-4,-9,6,-24,-57,handClose
3,14,33,16,2,78,40,19,handClose
-30,-16,-2,-39,-14,-5,-70,78,handClose
-2,-8,-11,49,-1,-115,-37,-19,handClose
16,13,38,20,48,127,92,80,handClose
-42,-12,15,0,8,-100,-75,-94,handClose
9,-13,9,-7,7,127,48,29,handClose
-60,-8,-20,-17,-31,-44,-41,-128,handClose
105,-2,-55,72,44,-128,-15,127,handClose
45,25,41,43,62,-3,81,38,handClose
-50,2,-24,-40,-33,-128,-93,-45,handClose
7,8,8,25,-64,31,-128,-31,handOpen
6,39,18,20,76,100,10,26,handOpen
0,-22,-33,-18,8,-28,-47,-30,handOpen
-8,-2,17,50,-31,-15,-5,-12,handOpen
-27,-25,-31,-25,115,-57,-19,-40,handOpen
4,13,-29,82,20,52,43,-6,handOpen
7,7,60,-41,-15,19,5,4,handOpen
-7,-34,-24,63,-6,-70,-19,-12,handOpen
27,16,20,-20,127,127,125,13,handOpen
5,11,10,2,52,17,22,7,handOpen
-5,-7,-52,-46,-17,-11,6,-3,handOpen
0,-13,33,32,-31,-24,-10,-1,handOpen
-9,-10,-27,-73,-113,-67,-53,-11,handOpen
9,-2,22,126,115,0,-38,-10,handOpen
-12,18,-30,-76,-44,-30,-49,-7,handOpen
-1,10,10,22,80,7,24,3,handOpen
-5,-29,-7,-5,-50,-42,-4,-11,handOpen
3,2,-4,-25,8,55,36,31,handOpen
3,9,6,44,94,-15,-67,-27,handOpen
2,4,-8,-75,-128,-71,-52,-26,handOpen
-20,3,-69,-128,-16,43,-41,-13,handOpen
2,-3,4,127,-49,12,-13,-3,handOpen
7,-12,-5,-71,-32,-15,-3,2,handOpen
0,3,0,-17,-55,-1,1,-2,handOpen
-8,1,0,-13,19,9,-14,-6,handOpen
-4,-3,-18,-48,-97,-61,38,-5,handOpen
8,-7,11,11,-71,3,127,16,handOpen
-10,23,17,-36,-18,-37,-22,13,handOpen
