1,28,48,-12,7,-97,-33,-11,-14,-32,-16,-15,37,-80,-50,11,handClose
-24,-1,26,12,24,23,-11,-21,-26,-3,-9,-62,-68,-40,-7,-17,handClose
11,0,1,53,-4,19,20,30,63,18,31,-10,33,-128,28,66,handClose
4,3,-8,14,-14,-77,-3,5,-33,13,63,-7,-2,-61,-37,-11,handClose
-2,12,67,-1,2,19,6,8,61,-43,-128,-36,75,-123,-14,-31,handClose
-5,17,53,36,-2,-42,4,10,7,26,50,33,3,-29,-19,-3,handClose
-4,13,89,-32,27,127,46,27,-8,-34,-40,0,3,127,41,30,handClose
-15,-38,-38,75,32,-128,-32,-13,-7,7,-3,17,72,-16,13,-6,handClose
-4,-4,30,-11,-52,6,12,-4,-7,17,22,20,12,2,-31,-32,handClose
-8,1,1,-5,-10,-128,-58,-20,5,12,33,35,-15,-53,-21,-2,handClose
1,10,29,-22,-33,-96,35,17,-11,5,29,-14,-1,35,30,13,handClose
-29,-32,-128,2,59,31,-26,-54,7,17,85,58,19,-1,2,24,handClose
13,-5,56,5,-6,-18,-7,13,0,-3,-6,-53,-64,21,9,-14,handClose
11,6,-42,-37,11,33,6,15,-1,10,34,-9,-55,37,40,21,handClose
-33,-8,17,-24,-18,73,36,-3,1,-6,-70,-46,0,-82,-30,-3,handClose
35,5,5,8,14,-41,-36,-27,-19,-25,-28,98,40,88,23,-15,handClose
-1,10,15,1,-12,38,36,15,3,8,24,1,-42,-60,-21,-14,handClose
-3,4,-9,-8,-15,82,31,2,25,15,49,45,-7,-128,-95,-74,handClose
4,-15,-14,-6,18,-14,6,5,5,26,-19,-3,2,76,20,13,handClose
0,-5,-18,-38,-18,23,75,70,-7,-25,37,51,55,-36,23,18,handClose
2,25,37,7,8,24,14,7,0,-12,-29,-27,-61,-19,-3,5,handClose
-4,-5,0,-15,-37,-73,1,7,-16,-29,-38,-64,-43,-65,-7,-15,handClose
-9,18,55,50,32,-60,-34,36,-4,-9,-11,4,16,68,38,2,handClose
15,18,19,9,19,127,41,-58,10,31,87,72,62,46,32,21,handClose
-10,-36,-128,-30,-44,58,-8,-26,-1,10,19,-49,-2,16,8,20,handClose
13,0,12,-22,6,127,28,1,-5,-8,-20,-17,-33,20,-1,-12,handClose
-8,5,46,5,-16,-128,-46,-18,5,33,36,-45,-13,-102,-11,11,handClose
-9,-8,32,16,-5,-5,-5,9,-9,-47,-105,21,9,-57,14,22,handClose
-3,27,58,69,2,20,57,38,1,-3,-8,-65,77,-128,-71,-67,handClose
19,-7,23,12,-21,19,-16,19,3,17,21,-1,12,88,37,16,handClose
-20,-14,-18,12,40,100,-14,-47,-4,17,32,23,29,0,12,-8,handClose
17,2,-18,-47,-45,12,28,36,-9,-12,18,-88,-27,-3,-43,-16,handClose
-2,5,-17,-5,26,19,26,27,-3,-29,-75,56,16,66,6,-17,handClose
-4,-3,11,-30,1,118,35,-12,18,21,45,-5,-36,-20,-6,20,handClose
10,36,111,-24,-35,-80,-32,1,0,-22,-51,-3,10,39,15,11,handClose
-36,-85,-128,-15,-16,75,1,-20,4,18,14,-7,-25,-73,16,16,handClose
21,19,37,32,25,127,32,-34,-12,11,29,0,-56,-37,9,-7,handClose
-10,-16,-16,-5,14,-32,-5,17,-31,-35,-108,2,-2,1,-41,-59,handClose
-4,8,32,-78,-73,-52,-7,1,27,-1,-34,49,-34,-77,-11,46,handClose
8,6,26,-19,-57,-74,24,58,-10,17,31,-4,35,61,10,-30,handClose
-3,16,42,4,-44,-58,15,65,-14,-1,24,17,22,-25,13,11,handClose
-7,-15,-8,18,15,70,-29,-103,-10,-48,-128,-87,15,-15,-14,-33,handClose
-9,1,19,11,-32,13,-1,18,7,13,29,15,20,-128,20,22,handClose
28,27,71,-41,-23,111,48,58,-3,12,58,-2,-11,127,4,16,handClose
2,-30,-128,-45,-15,55,30,32,2,7,48,48,16,26,-22,-43,handClose
-1,21,49,112,60,-4,8,-5,0,-29,30,-39,-42,-23,64,50,handClose
29,2,-126,-4,3,-12,30,18,16,25,21,3,60,-128,-76,-99,handClose
-6,12,28,-1,-47,-18,-27,10,0,12,16,64,-14,-10,7,23,handClose
-10,1,-13,23,16,-116,-32,-60,10,3,15,-17,-39,79,38,86,handClose
-6,-14,-27,-51,-2,-128,-85,-8,-4,-18,-40,-29,8,-64,-7,-27,handClose
-12,-6,-32,-48,-13,27,21,5,12,2,25,20,-16,-26,-21,3,handClose
-8,-8,-47,-11,-38,-102,20,10,-4,14,39,27,2,-9,5,-2,handClose
6,9,9,42,-21,-91,-14,-18,-9,-11,-44,-82,-43,5,6,36,handClose
0,-25,9,16,63,-120,-61,-50,8,18,75,51,-19,-16,18,-35,handClose
-3,5,-22,-65,-20,-26,-32,6,25,-15,-33,-32,72,127,-25,-1,handClose
-5,-5,-86,2,-1,12,4,44,8,12,63,21,-17,-128,27,26,handClose
13,8,13,-76,-44,38,49,41,-14,-10,-77,59,56,-105,-40,-22,handClose
-11,-13,8,-45,77,-92,-41,-41,10,22,-2,-27,-47,58,12,19,handClose
