-48,-128,-123,2,48,12,-22,-38,23,41,-3,-84,127,81,17,72,handClose
-9,24,-17,-61,-32,-128,-33,-74,43,97,53,127,36,63,127,127,handClose
38,47,6,1,4,74,63,127,-14,-128,-128,51,127,-14,-2,40,handClose
74,127,127,49,-62,-62,16,8,4,25,59,32,-7,-49,10,-1,handClose
33,-8,4,0,-99,-54,28,81,31,32,49,75,19,25,57,64,handClose
10,8,-10,7,-35,14,17,25,-49,32,30,-43,2,-115,-109,-128,handClose
19,-7,8,-28,-95,-5,85,127,-45,-23,-41,24,-23,-4,33,12,handClose
-10,73,36,63,88,102,-128,-128,4,-1,84,-17,28,-33,34,58,handClose
14,46,41,9,-3,127,-31,-103,6,62,1,81,34,-128,19,83,handClose
28,41,12,68,-12,-50,34,84,53,58,18,-43,-106,-123,-73,-86,handClose
25,47,27,13,53,105,47,6,-3,39,10,-46,10,-128,-29,-99,handClose
-55,-128,-128,-52,-83,-50,-19,12,51,16,44,80,111,88,101,125,handClose
5,15,11,43,20,-20,-19,20,-10,105,16,7,23,-52,-128,-128,handClose
17,72,99,1,-82,-128,69,127,-25,-73,-50,-56,-22,89,76,6,handClose
-101,-128,-128,20,-52,127,-128,-128,13,-59,34,-52,-57,-50,4,-52,handClose
2,43,18,2,-2,-48,-15,23,-34,-16,-30,26,7,-78,-26,7,handClose
15,52,31,32,18,-4,-28,13,44,30,90,50,72,111,98,67,handClose
-33,-111,-18,-102,-128,-97,24,79,-50,-40,-44,79,-71,-66,-119,-119,handClose
47,124,84,-31,127,127,38,63,51,34,75,-73,-125,-128,127,127,handClose
-69,-83,-61,38,26,-42,-128,-128,-33,33,-79,33,127,127,-128,-128,handClose
-91,-128,-128,-94,-128,-115,-128,-128,-18,33,-3,18,-7,2,-4,64,handClose
31,69,64,-18,53,59,29,30,10,25,-7,-16,28,-21,76,75,handClose
-2,21,20,8,-31,-6,40,-6,59,83,34,3,78,127,96,90,handClose
4,-9,4,-43,-71,-66,60,127,35,82,95,-11,-24,-58,21,89,handClose
36,6,-8,-83,-42,17,119,127,-26,44,5,59,127,127,-109,-128,handClose
25,93,67,104,32,-119,33,4,-20,-39,-39,-40,-51,-63,-2,78,handClose
8,-6,-10,28,113,53,70,16,50,48,28,2,-5,-10,127,127,handClose
-11,-2,-10,-118,-128,-128,-73,-34,-47,-54,-69,-12,16,-128,-128,-128,handClose
31,-20,-20,-17,36,127,73,28,-57,-27,43,83,36,-128,-101,-74,handClose
71,21,50,-40,-18,-17,127,127,0,-29,2,26,31,17,-30,-14,handClose
-85,97,121,127,43,86,-128,-128,-8,-76,-121,-38,-24,-14,33,-16,handClose
-20,-128,-119,-35,-31,-19,104,127,-26,67,61,11,-11,-128,-125,-87,handClose
-4,-20,-82,-73,-63,127,-16,-10,36,65,121,31,66,-88,113,127,handClose
9,19,55,117,16,-21,86,119,-39,-99,-95,-20,-27,-67,-48,-82,handClose
22,70,66,-37,-57,-93,-84,-91,30,18,28,-6,69,127,25,50,handClose
-62,-128,-113,-43,-36,-53,-56,-60,21,-24,-21,-10,-40,-31,8,7,handClose
-21,-11,19,107,-71,109,-82,-93,44,2,-5,38,-2,-128,80,127,handClose
